Aangeboden sinds,Verkoopdatum,Laatste vraagprijs,Status,Soort bouw,Aantal kamers,Energielabel,Overige inpandige ruimte m2,Perceel m2,Achtertuin m2,Aantal dagen tot verkoop,Vraagprijs per m2,Woonruimte in m2,Gebouwgebonden buitenruimte in m2,Externe bergruimte in m2,Inhoud in m3,Aantal slaapkamers,Bathrooms,Toilets,Woonlagen,Zolder,Kelder,Voorzieningen_Mechanischeventilatie,Voorzieningen_Tvkabel,Voorzieningen_Zonnepanelen,Voorzieningen_Elektra,Voorzieningen_Glasvezelkabel,Voorzieningen_Domotica,Voorzieningen_Natuurlijkeventilatie,Voorzieningen_Zwembad,Voorzieningen_Schuifpui,Voorzieningen_Lift,Voorzieningen_Balansventilatie,Voorzieningen_Buitenzonwering,Voorzieningen_Dakraam,Voorzieningen_Verwarming,Voorzieningen_Stromendwater,Voorzieningen_Elektrischedeur,Voorzieningen_Vliering,Voorzieningen_Rookkanaal,Voorzieningen_Airconditioning,Voorzieningen_Rolluiken,Voorzieningen_Alarminstallatie,Voorzieningen_Jacuzzi,Voorzieningen_Sauna,Voorzieningen_Zonnecollectoren,Voorzieningen_Satellietschotel,Voorzieningen_cctv,Isolatie_Vollediggeïsoleerd,Isolatie_Geenspouw,Isolatie_Dakisolatie,Isolatie_Dubbelglas,Isolatie_Muurisolatie,Isolatie_Vloerisolatie,Isolatie_Hr-glas,Isolatie_Driedubbelglas,Isolatie_Geenisolatie,Isolatie_Eco-bouw,Isolatie_Kierdichting,Isolatie_Gedeeltelijkdubbel glas,Isolatie_Voorzetramen,Isolatie_Grotendeelsdubbelglas,Verwarming_Gedeeltelijkevloerverwarming,Verwarming_Warmtepomp,Verwarming_Gehelevloerverwarming,Verwarming_Warmteterugwininstallatie,Verwarming_Aardwarmte,Verwarming_Stadsverwarming,Verwarming_Elektrischeverwarming,Verwarming_Blokverwarming,Verwarming_Heteluchtverwarming,Verwarming_Gashaard,Verwarming_Openhaard,Verwarming_Pelletburner,Verwarming_Houtkachel,Verwarming_Allesbrander,Verwarming_Gaskachels,Verwarming_Mogelijkheidvoor open haard,Verwarming_Moederhaard,Verwarming_Geenverwarming,Verwarming_Kolenkachel,Verwarming_Muurverwarming,Balkon/dakterras_Balkonaanwezig,Balkon/dakterras_Fransbalkon aanwezig,Balkon/dakterras_Dakterrasaanwezig,Schuur/berging_Vrijstaandehouten berging,Schuur/berging_Aangebouwdehouten berging,Schuur/berging_Inpandig,Schuur/berging_Vrijstaandestenen berging,Schuur/berging_Box,Schuur/berging_Aangebouwdestenen berging,Schuur/berging_Vrijstaandkunststof,Tuin_Achtertuin,Tuin_Voortuin,Tuin_Zijtuin,Tuin_Tuinrondom,Tuin_Zonneterras,Tuin_Plaats,Tuin_Patio/atrium,Soort garage_Aangebouwdehouten garage,Soort garage_Parkeerplaats,Soort garage_Inpandig,Soort garage_Parkeerkelder,Soort garage_Garagebox,Soort garage_Aangebouwdestenen garage,Soort garage_Carport,Soort garage_Vrijstaandestenen garage,Soort garage_Vrijstaandehouten garage,Soort garage_Garagemet carport,Soort garage_Souterrain,Soort dak,Soort woonhuis
2023-07-07,2023-07-20,200000,Verkocht,Bestaande bouw,2,C,0,48,40,13 days,4167,48,0,5,148,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plat dak bedekt met bitumineuze dakbedekking,"Eengezinswoning, eindwoning"
2023-07-06,2023-07-22,365000,Verkocht,Bestaande bouw,5,C,10,267,172,16 days,4620,79,0,11,316,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, 2-onder-1-kapwoning"
2023-07-07,2023-08-01,350000,Verkocht,Bestaande bouw,4,D,17,133,40,25 days,4375,80,0,5,345,3,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, tussenwoning"
2023-07-06,2023-07-18,300000,Verkocht,Bestaande bouw,4,C,0,213,125,12 days,2679,112,0,5,295,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plat dak bedekt met bitumineuze dakbedekking,"Eengezinswoning, tussenwoning"
2023-07-06,2023-07-14,435000,Verkocht,Bestaande bouw,4,A+++,0,146,68,8 days,3718,117,0,34,470,3,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, hoekwoning"
2023-07-06,2023-07-26,385000,Verkocht,Bestaande bouw,6,A,17,240,80,20 days,2619,147,0,0,597,5,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, 2-onder-1-kapwoning"
2023-07-06,2023-07-18,400000,Verkocht,Bestaande bouw,3,C,0,64,72,12 days,6250,64,0,9,253,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zadeldak bedekt met pannen,"Landhuis, geschakelde 2-onder-1-kapwoning"
2023-07-06,2023-07-22,325000,Verkocht,Bestaande bouw,3,A,0,58,0,16 days,5603,58,8,6,275,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plat dak bedekt met bitumineuze dakbedekking,"Eengezinswoning, tussenwoning (hofjeswoning)"
2023-07-07,2023-07-20,250000,Verkocht,Bestaande bouw,3,A,0,67,0,13 days,3731,67,5,6,260,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zadeldak bedekt met pannen,"Eengezinswoning, tussenwoning (hofjeswoning)"
2023-07-07,2023-07-27,349500,Verkocht,Bestaande bouw,3,B,0,72,0,20 days,4854,72,4,5,221,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Samengesteld dak bedekt met pannen,"Villa, vrijstaande woning"
2023-07-06,2023-07-20,250000,Verkocht,Bestaande bouw,4,F,12,62,20,14 days,3289,76,0,5,322,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mansarde dak bedekt met pannen,"Eengezinswoning, hoekwoning"
